RequestId,69bd9827620f00a58b1a07d2
X,HFCT
74955,12.68274498
75090,14.86478615
75225,16.55462456
75360,16.90853882
75495,16.53314972
75630,17.21879578
75765,10.10543346
75900,14.3278923
76035,8.171545982
76170,6.021290779
76305,12.03207779
76440,7.649338722
76575,10.92939472
76710,11.17440128
76845,6.385941505
76980,12.22050953
77115,12.84762287
77250,14.76315308
77385,15.99554348
77520,15.77656555
77655,16.90585327
77790,13.55475521
77925,15.65265274
78060,9.038808823
78195,9.741278648
78330,13.74435902
78465,12.72608185
78600,12.94736576
78735,14.90572453
78870,16.17367554
79005,12.40555477
79140,10.27122211
79275,9.023796082
79410,11.84820747
79545,7.430206299
79680,12.12134552
79815,14.60308456
79950,15.09112835
80085,14.08909225
80220,8.451395035
80355,12.46001244
80490,9.51986599
80625,12.8013382
80760,13.36040592
80895,13.57388687
81030,7.739546299
81165,7.907361031
81300,9.939829826
81435,11.77984047
81570,14.65344238
81705,11.58793449
81840,14.24324322
81975,15.33086109
82110,12.84172153
82245,12.677845
82380,12.42477894
82515,14.16070366
82650,10.48462772
82785,9.002591133
82920,11.81638813
83055,13.15864372
83190,12.63922691
83325,13.33392239
83460,14.8696022
83595,8.479037285
83730,11.85070133
83865,10.66753101
84000,11.55166912
84135,11.86479092
84270,9.011733055
84405,12.80174351
84540,7.849884033
84675,9.338411331
84810,10.98323154
84945,9.76907444
85080,12.11466503
85215,7.794301987
85350,8.79005146
85485,13.14817142
85620,9.204696655
85755,9.418755531
85890,8.068041801
86025,13.66019344
86160,16.74148178
86295,17.76757431
86430,18.72180748
86565,12.78998089
86700,15.26799488
86835,13.4238472
86970,13.52188683
87105,8.580593109
87240,8.287351608
87375,10.65003586
87510,11.16528702
87645,13.70445728
87780,10.77922058
87915,13.11769962
88050,15.11506367
88185,9.086566925
88320,5.931313992
88455,9.868519783
88590,14.1423502
88725,12.74478531
88860,14.86420822
88995,15.80577087
89130,14.54784393
89265,15.58178806
89400,16.12460709
89535,10.41768837
89670,11.58858204
89805,8.662530899
89940,12.00850391
90075,12.07241344
90210,13.95521259
90345,16.35837173
90480,17.23201752
90615,10.13982773
90750,5.781018734
90885,10.38868809
